-0.006,0.013,0.247
0.013,0.025,0.311
0.016,0.027,0.336
0.012,0.019,0.355
0.006,0.020,0.372
-0.001,0.045,0.395
-0.019,0.082,0.418
-0.040,0.115,0.433
-0.062,0.146,0.445
-0.076,0.168,0.430
-0.094,0.166,0.391
-0.112,0.149,0.351
-0.136,0.133,0.312
-0.160,0.113,0.265
-0.179,0.093,0.224
-0.193,0.055,0.178
-0.223,0.003,0.152
-0.294,-0.103,0.125
-0.351,-0.289,0.108
-0.359,-0.557,0.099
-0.353,-0.769,0.113
-0.331,-0.981,0.119
-0.297,-1.080,0.095
-0.270,-1.041,0.019
-0.247,-0.915,-0.127
-0.208,-0.780,-0.275
-0.138,-0.697,-0.412
-0.064,-0.662,-0.517
0.012,-0.678,-0.600
0.064,-0.723,-0.662
0.088,-0.770,-0.739
0.147,-0.803,-0.841
0.197,-0.842,-0.947
0.213,-0.874,-1.045
0.180,-0.813,-1.258
0.120,-0.713,-1.315
0.062,-0.614,-1.371
0.001,-0.538,-1.416
-0.071,-0.468,-1.439
-0.156,-0.396,-1.450
-0.236,-0.361,-1.465
-0.348,-0.292,-1.455
-0.447,-0.195,-1.436
-0.534,-0.007,-1.384
-0.593,0.212,-1.319
-0.608,0.404,-1.230
-0.597,0.622,-1.110
-0.585,0.769,-1.000
-0.587,0.890,-0.856
-0.599,0.951,-0.724
-0.595,1.008,-0.577
-0.495,1.026,-0.242
-0.463,0.971,-0.129
-0.455,0.866,-0.017
-0.456,0.748,0.103
-0.455,0.644,0.227
-0.425,0.559,0.351
-0.376,0.483,0.481
-0.311,0.386,0.607
-0.220,0.297,0.755
-0.092,0.230,0.893
0.054,0.154,0.978
0.157,0.046,1.030
0.227,-0.061,1.091
0.276,-0.130,1.150
0.335,-0.191,1.189
0.387,-0.251,1.257
0.475,-0.345,1.451
0.495,-0.413,1.521
0.493,-0.505,1.556
0.457,-0.593,1.624
0.666,-0.391,1.678
0.648,-0.408,1.657
0.638,-0.373,1.643
0.648,-0.306,1.650
0.607,-0.268,1.610
0.547,-0.205,1.588
0.472,-0.168,1.516
0.386,-0.104,1.457
0.268,-0.086,1.365
0.209,0.004,1.328
0.168,0.082,1.300
0.121,0.140,1.269
0.075,0.202,1.204
0.035,0.269,1.120
0.015,0.350,0.846
0.014,0.415,0.687
0.056,0.501,0.543
0.073,0.528,0.356
0.086,0.526,0.142
0.111,0.483,-0.042
0.160,0.489,-0.152
0.262,0.544,-0.217
0.378,0.592,-0.269
0.467,0.638,-0.305
0.561,0.663,-0.343
0.651,0.680,-0.373
0.686,0.655,-0.431
0.713,0.618,-0.473
0.716,0.566,-0.536
0.706,0.485,-0.626
0.696,0.418,-0.718
0.729,0.377,-0.791
0.812,0.302,-0.951
0.897,0.286,-0.935
0.916,0.255,-0.953
0.906,0.231,-0.972
0.913,0.236,-0.984
0.945,0.270,-0.987
0.897,0.250,-1.051
0.822,0.221,-1.118
0.725,0.172,-1.197
0.647,0.155,-1.245
0.549,0.165,-1.293
0.443,0.232,-1.295
0.318,0.358,-1.234
0.209,0.464,-1.185
0.143,0.552,-1.173
0.093,0.656,-1.145
0.063,0.782,-1.119
-0.154,0.991,-1.182
-0.355,0.922,-1.190
-0.567,0.809,-1.161
-0.769,0.639,-1.095
-0.930,0.533,-0.958
-1.089,0.406,-0.840
-1.199,0.264,-0.673
-1.290,0.078,-0.486

